Country Name,Country Index
Afghanistan,0
Albania,1
Algeria,2
American Samoa,3
Andorra,4
Angola,5
Antigua and Barbuda,6
Argentina,7
Armenia,8
Aruba,9
Australia,10
Austria,11
Azerbaijan,12
"Bahamas, The",13
Bahrain,14
Bangladesh,15
Barbados,16
Belarus,17
Belgium,18
Belize,19
Benin,20
Bermuda,21
Bhutan,22
Bolivia,23
Bosnia and Herzegovina,24
Botswana,25
Brazil,26
Brunei Darussalam,28
Bulgaria,29
Burkina Faso,30
Burundi,31
Cambodia,33
Cameroon,34
Canada,35
Cabo Verde,32
Cayman Islands,36
Central African Republic,37
Chad,38
Chile,39
China,40
Colombia,41
Comoros,42
"Congo, Rep.",44
"Congo, Dem. Rep.",43
Costa Rica,45
Cote d'Ivoire,46
Croatia,47
Cuba,48
Cyprus,49
Czech Republic,50
Denmark,51
Djibouti,52
Dominica,53
Dominican Republic,54
Ecuador,55
"Egypt, Arab Rep.",56
El Salvador,57
Equatorial Guinea,58
Eritrea,59
Estonia,60
Ethiopia,62
Faroe Islands,63
Fiji,64
Finland,65
France,66
French Polynesia,67
Gabon,68
"Gambia, The",69
Georgia,70
Germany,71
Ghana,72
Gibraltar,73
Greece,74
Greenland,75
Grenada,76
Guam,77
Guatemala,78
Guinea,79
Guinea-Bissau,80
Guyana,81
Haiti,82
Honduras,83
"Hong Kong SAR, China",84
Hungary,85
Iceland,86
India,87
Indonesia,88
"Iran, Islamic Rep.",89
Iraq,90
Ireland,91
Israel,92
Italy,93
Jamaica,94
Japan,95
Jordan,96
Kazakhstan,97
Kenya,98
Kiribati,99
"Korea, Dem. People’s Rep.",100
"Korea, Rep.",101
Kuwait,102
Kyrgyz Republic,103
Lao PDR,104
Latvia,105
Lebanon,106
Lesotho,107
Liberia,108
Libya,109
Lithuania,110
Luxembourg,111
"Macao SAR, China",112
North Macedonia,138
Madagascar,113
Malawi,114
Malaysia,115
Maldives,116
Mali,117
Malta,118
Marshall Islands,119
Mauritania,120
Mauritius,121
Mexico,122
"Micronesia, Fed. Sts.",123
Moldova,124
Mongolia,125
Morocco,126
Mozambique,127
Myanmar,128
Namibia,129
Nauru,130
Nepal,131
Netherlands,132
New Caledonia,133
New Zealand,134
Nicaragua,135
Niger,136
Nigeria,137
Northern Mariana Islands,139
Norway,140
Oman,141
Pakistan,142
Palau,143
Panama,144
Papua New Guinea,145
Paraguay,146
Peru,147
Philippines,148
Poland,149
Portugal,150
Puerto Rico,151
Qatar,152
Romania,153
Russian Federation,154
Rwanda,155
St. Kitts and Nevis,171
St. Lucia,172
St. Vincent and the Grenadines,173
Samoa,156
Sao Tome and Principe,157
Saudi Arabia,158
Senegal,159
Serbia,160
Seychelles,161
Sierra Leone,162
Singapore,163
Slovak Republic,164
Slovenia,165
Solomon Islands,166
Somalia,167
South Africa,168
Spain,169
Sri Lanka,170
Sudan,174
Suriname,175
Eswatini,61
Sweden,176
Switzerland,177
Syrian Arab Republic,178
Tajikistan,179
Tanzania,180
Thailand,181
Timor-Leste,182
Togo,183
Tonga,184
Trinidad and Tobago,185
Tunisia,186
Turkey,187
Turkmenistan,188
Turks and Caicos Islands,189
Tuvalu,190
Uganda,191
Ukraine,192
United Arab Emirates,193
United Kingdom,194
United States,195
Uruguay,196
Uzbekistan,197
Vanuatu,198
"Venezuela, RB",199
Vietnam,200
British Virgin Islands,27
Virgin Islands (U.S.),201
"Yemen, Rep.",202
Zambia,203
Zimbabwe,204
